,,Median of MP,Mean of MP,Std of MP,Median of Starts,Mean of Starts,Std of Starts,Median of Min,Mean of Min,Std of Min,Median of Mn/Start,Mean of Mn/Start,Std of Mn/Start,Median of Compl,Mean of Compl,Std of Compl,Median of Subs,Mean of Subs,Std of Subs,Median of Mn/Sub,Mean of Mn/Sub,Std of Mn/Sub,Median of unSub,Mean of unSub,Std of unSub,Median of PPM,Mean of PPM,Std of PPM,Median of onG,Mean of onG,Std of onG,Median of onGA,Mean of onGA,Std of onGA,Median of onxG,Mean of onxG,Std of onxG,Median of onxGA,Mean of onxGA,Std of onxGA,Median of G-PK,Mean of G-PK,Std of G-PK,Median of PK,Mean of PK,Std of PK,Median of Ast,Mean of Ast,Std of Ast,Median of CrdY,Mean of CrdY,Std of CrdY,Median of CrdR,Mean of CrdR,Std of CrdR,Median of xG,Mean of xG,Std of xG,Median of npxG,Mean of npxG,Std of npxG,Median of xAG,Mean of xAG,Std of xAG,Median of PrgC,Mean of PrgC,Std of PrgC,Median of PrgP,Mean of PrgP,Std of PrgP,Median of PrgR,Mean of PrgR,Std of PrgR,Median of Gls,Mean of Gls,Std of Gls,Median of Ast,Mean of Ast,Std of Ast,Median of G+A,Mean of G+A,Std of G+A,Median of G-PK,Mean of G-PK,Std of G-PK,Median of G+A-PK,Mean of G+A-PK,Std of G+A-PK,Median of xG,Mean of xG,Std of xG,Median of xAG,Mean of xAG,Std of xAG,Median of xG+xAG,Mean of xG+xAG,Std of xG+xAG,Median of npxG,Mean of npxG,Std of npxG,Median of npxG+xAG,Mean of npxG+xAG,Std of npxG+xAG,Median of GA,Mean of GA,Std of GA,Median of GA90,Mean of GA90,Std of GA90,Median of SoTA,Mean of SoTA,Std of SoTA,Median of Saves,Mean of Saves,Std of Saves,Median of Save%,Mean of Save%,Std of Save%,Median of W,Mean of W,Std of W,Median of D,Mean of D,Std of D,Median of L,Mean of L,Std of L,Median of CS,Mean of CS,Std of CS,Median of CS%,Mean of CS%,Std of CS%,Median of PKatt,Mean of PKatt,Std of PKatt,Median of PKA,Mean of PKA,Std of PKA,Median of PKsv,Mean of PKsv,Std of PKsv,Median of PKm,Mean of PKm,Std of PKm,Median of Save%,Mean of Save%,Std of Save%,Median of Gls,Mean of Gls,Std of Gls,Median of Sh,Mean of Sh,Std of Sh,Median of SoT,Mean of SoT,Std of SoT,Median of SoT%,Mean of SoT%,Std of SoT%,Median of Sh/90,Mean of Sh/90,Std of Sh/90,Median of SoT/90,Mean of SoT/90,Std of SoT/90,Median of G/Sh,Mean of G/Sh,Std of G/Sh,Median of G/SoT,Mean of G/SoT,Std of G/SoT,Median of Dist,Mean of Dist,Std of Dist,Median of FK,Mean of FK,Std of FK,Median of PK,Mean of PK,Std of PK,Median of PKatt,Mean of PKatt,Std of PKatt,Median of xG,Mean of xG,Std of xG,Median of npxG,Mean of npxG,Std of npxG,Median of npxG/Sh,Mean of npxG/Sh,Std of npxG/Sh,Median of G-xG,Mean of G-xG,Std of G-xG,Median of np:G-xG,Mean of np:G-xG,Std of np:G-xG,Median of Cmp,Mean of Cmp,Std of Cmp,Median of Att,Mean of Att,Std of Att,Median of Cmp%,Mean of Cmp%,Std of Cmp%,Median of TotDist,Mean of TotDist,Std of TotDist,Median of PrgDist,Mean of PrgDist,Std of PrgDist,Median of Cmp,Mean of Cmp,Std of Cmp,Median of Att,Mean of Att,Std of Att,Median of Cmp%,Mean of Cmp%,Std of Cmp%,Median of Cmp,Mean of Cmp,Std of Cmp,Median of Att,Mean of Att,Std of Att,Median of Cmp%,Mean of Cmp%,Std of Cmp%,Median of Cmp,Mean of Cmp,Std of Cmp,Median of Att,Mean of Att,Std of Att,Median of Cmp%,Mean of Cmp%,Std of Cmp%,Median of Ast,Mean of Ast,Std of Ast,Median of xAG,Mean of xAG,Std of xAG,Median of xA,Mean of xA,Std of xA,Median of A-xAG,Mean of A-xAG,Std of A-xAG,Median of KP,Mean of KP,Std of KP,Median of 1/3,Mean of 1/3,Std of 1/3,Median of PPA,Mean of PPA,Std of PPA,Median of CrsPA,Mean of CrsPA,Std of CrsPA,Median of PrgP,Mean of PrgP,Std of PrgP,Median of Live,Mean of Live,Std of Live,Median of Dead,Mean of Dead,Std of Dead,Median of FK,Mean of FK,Std of FK,Median of TB,Mean of TB,Std of TB,Median of Sw,Mean of Sw,Std of Sw,Median of Crs,Mean of Crs,Std of Crs,Median of TI,Mean of TI,Std of TI,Median of CK,Mean of CK,Std of CK,Median of In,Mean of In,Std of In,Median of Out,Mean of Out,Std of Out,Median of Str,Mean of Str,Std of Str,Median of Cmp,Mean of Cmp,Std of Cmp,Median of Off,Mean of Off,Std of Off,Median of Blocks,Mean of Blocks,Std of Blocks,Median of SCA,Mean of SCA,Std of SCA,Median of SCA90,Mean of SCA90,Std of SCA90,Median of PassLive,Mean of PassLive,Std of PassLive,Median of PassDead,Mean of PassDead,Std of PassDead,Median of TO,Mean of TO,Std of TO,Median of Sh,Mean of Sh,Std of Sh,Median of Fld,Mean of Fld,Std of Fld,Median of Def,Mean of Def,Std of Def,Median of GCA,Mean of GCA,Std of GCA,Median of GCA90,Mean of GCA90,Std of GCA90,Median of PassLive,Mean of PassLive,Std of PassLive,Median of PassDead,Mean of PassDead,Std of PassDead,Median of TO,Mean of TO,Std of TO,Median of Sh,Mean of Sh,Std of Sh,Median of Fld,Mean of Fld,Std of Fld,Median of Def,Mean of Def,Std of Def,Median of Tkl,Mean of Tkl,Std of Tkl,Median of TklW,Mean of TklW,Std of TklW,Median of TklW,Mean of TklW,Std of TklW,Median of Mid 3rd,Mean of Mid 3rd,Std of Mid 3rd,Median of Att 3rd,Mean of Att 3rd,Std of Att 3rd,Median of Tkl,Mean of Tkl,Std of Tkl,Median of Att,Mean of Att,Std of Att,Median of Tkl%,Mean of Tkl%,Std of Tkl%,Median of Lost,Mean of Lost,Std of Lost,Median of Blocks,Mean of Blocks,Std of Blocks,Median of Sh,Mean of Sh,Std of Sh,Median of Pass,Mean of Pass,Std of Pass,Median of Int,Mean of Int,Std of Int,Median of Tkl + Int,Mean of Tkl + Int,Std of Tkl + Int,Median of Clr,Mean of Clr,Std of Clr,Median of Err,Mean of Err,Std of Err,Median of Touches,Mean of Touches,Std of Touches,Median of Def Pen,Mean of Def Pen,Std of Def Pen,Median of Def 3rd,Mean of Def 3rd,Std of Def 3rd,Median of Mid 3rd,Mean of Mid 3rd,Std of Mid 3rd,Median of Att 3rd,Mean of Att 3rd,Std of Att 3rd,Median of Att Pen,Mean of Att Pen,Std of Att Pen,Median of Live,Mean of Live,Std of Live,Median of Att,Mean of Att,Std of Att,Median of Succ,Mean of Succ,Std of Succ,Median of Succ%,Mean of Succ%,Std of Succ%,Median of Tkld,Mean of Tkld,Std of Tkld,Median of Tkld%,Mean of Tkld%,Std of Tkld%,Median of Carries,Mean of Carries,Std of Carries,Median of TotDist,Mean of TotDist,Std of TotDist,Median of ProDist,Mean of ProDist,Std of ProDist,Median of ProgC,Mean of ProgC,Std of ProgC,Median of 1/3,Mean of 1/3,Std of 1/3,Median of CPA,Mean of CPA,Std of CPA,Median of Mis,Mean of Mis,Std of Mis,Median of Dis,Mean of Dis,Std of Dis,Median of Rec,Mean of Rec,Std of Rec,Median of PrgR,Mean of PrgR,Std of PrgR,Median of Fls,Mean of Fls,Std of Fls,Median of Fld,Mean of Fld,Std of Fld,Median of Off,Mean of Off,Std of Off,Median of Crs,Mean of Crs,Std of Crs,Median of OG,Mean of OG,Std of OG,Median of Recov,Mean of Recov,Std of Recov,Median of Won,Mean of Won,Std of Won,Median of Lost,Mean of Lost,Std of Lost,Median of Won%,Mean of Won%,Std of Won%
0,all,23.0,22.6572,10.1267,16.0,16.9412,11.1558,1419.0,1518.3692,948.2779,82.0,80.0784,8.9924,8.0,10.7667,10.2221,4.0,5.716,5.1983,20.0,21.2683,9.6783,2.0,4.8803,6.3909,1.29,1.3256,0.5925,24.0,27.6694,20.3648,26.0,27.5558,18.2454,23.3,26.141,18.2123,24.7,26.0416,17.0207,1.0,2.2292,3.3489,0.0,0.1947,0.8417,1.0,1.7363,2.4708,3.0,3.3205,2.8397,0.0,0.1176,0.3406,1.1,2.4361,3.5678,1.1,2.2639,3.1096,1.0,1.7546,2.1912,17.0,28.8519,32.2714,44.0,59.3327,57.5225,30.0,58.6531,71.1276,0.07,0.1383,0.1923,0.05,0.0997,0.1376,0.15,0.2379,0.2649,0.07,0.13,0.1807,0.15,0.2295,0.2523,0.08,0.149,0.1774,0.07,0.1046,0.1063,0.17,0.2537,0.2398,0.08,0.1413,0.1652,0.17,0.2462,0.2272,28.0,33.5405,21.9934,1.64,1.7111,0.6156,80.0,98.4324,64.6013,56.0,65.973,44.324,67.7,66.8838,8.3498,6.0,8.0541,6.5345,4.0,4.4324,3.0004,6.0,8.027,6.4367,3.0,4.2432,3.8232,20.0,20.1459,14.373,2.0,2.8919,2.5971,2.0,2.5946,2.5305,0.0,0.2162,0.4728,0.0,0.0811,0.273,0.0,9.7207,21.5554,1.0,2.4239,3.8121,12.0,20.9817,23.073,4.0,7.1785,9.0796,32.5,31.4658,18.5915,1.04,1.3028,1.0992,0.29,0.4471,0.4708,0.08,0.0938,0.1107,0.27,0.295,0.2567,16.3,16.5215,4.7523,0.0,0.574,1.8108,0.0,0.1947,0.8417,0.0,0.217,0.9271,1.1,2.4361,3.5678,1.1,2.2639,3.1096,0.09,0.1016,0.0703,-0.1,-0.0122,1.3831,-0.1,-0.0347,1.3604,494.0,634.8783,549.2745,627.0,786.3935,633.4048,78.7,78.2357,8.2793,7596.0,10789.1339,9766.1876,2329.0,3816.6937,4155.0738,244.0,305.1744,263.459,276.0,341.4402,282.9834,88.6,88.0314,6.8425,174.0,259.0771,254.3593,212.0,298.858,274.722,84.5,82.7793,10.2816,32.0,54.1542,63.6924,60.0,104.2333,132.2601,53.25,54.4674,15.0698,1.0,1.7363,2.4708,1.0,1.7546,2.1912,0.9,1.5531,1.8866,-0.1,-0.0183,1.1306,9.0,15.9554,18.4616,29.0,47.2901,50.2982,8.0,13.7221,16.1529,1.0,2.8641,4.3777,44.0,59.3327,57.5225,567.0,713.7566,583.6474,38.0,69.7059,87.1525,8.0,18.9067,27.4126,1.0,2.6856,4.5366,2.0,4.073,5.9336,10.0,26.6105,42.2797,5.0,27.2231,54.717,0.0,8.3266,23.0396,0.0,4.0649,11.7511,0.0,2.4361,8.8117,0.0,0.2008,0.9286,494.0,634.8783,549.2745,2.0,2.931,3.1143,12.0,14.7282,13.2553,25.0,37.3327,37.6153,2.11,2.2375,1.4695,19.0,27.3448,26.9361,0.0,3.1095,7.6397,1.0,2.1684,3.4184,1.0,2.426,2.9473,1.0,1.5578,2.2598,0.0,0.7262,1.1251,3.0,4.1826,4.9573,0.19,0.2484,0.2671,2.0,2.9432,3.5367,0.0,0.2617,0.7997,0.0,0.3022,0.7373,0.0,0.3306,0.7222,0.0,0.2637,0.6365,0.0,0.0811,0.2945,21.0,27.1116,23.8029,13.0,15.9229,14.2159,9.0,13.1481,13.1371,7.0,10.1237,9.5685,2.0,3.8398,4.0082,9.0,12.5963,12.0907,21.0,25.6856,22.7666,48.1,47.4299,20.2445,10.0,13.0892,12.188,16.0,18.7667,15.3201,3.0,5.9797,7.9422,11.0,12.787,10.8091,9.0,12.7505,12.6884,30.0,39.8621,34.8184,18.0,31.5254,36.061,0.0,0.6653,1.0956,809.0,959.9513,714.9215,37.0,107.0284,200.7797,176.0,315.1927,347.6867,315.0,410.14,368.8344,172.0,243.5497,239.2115,23.0,40.2394,47.342,809.0,959.7343,714.8085,17.0,28.6937,32.8472,8.0,13.0892,15.4328,46.3,47.2591,19.1796,7.0,12.5517,14.8828,42.9,41.754,18.968,455.0,549.3834,434.9307,2331.0,2903.284,2278.1727,1150.0,1492.9067,1256.9623,17.0,28.8519,32.2714,14.0,20.3428,19.9611,3.0,9.1988,15.9903,15.0,21.7566,20.9399,9.0,14.5051,16.0515,511.0,628.4219,507.5664,30.0,58.6531,71.1276,14.0,16.9047,13.6657,12.0,16.3732,15.6925,1.0,2.9209,4.643,10.0,26.6105,42.2797,0.0,0.0994,0.3314,62.0,74.1805,55.7856,12.0,20.4888,23.803,16.0,20.4442,20.9534,46.9,48.3388,21.5148
1,Bournemouth,25.5,22.0769,11.622,13.0,16.0385,12.4853,1317.5,1438.4231,1053.2778,83.0,79.0,9.757,5.5,9.5,10.6383,5.5,6.0385,5.1775,23.0,23.2727,7.8229,3.0,4.4231,5.4995,1.23,1.2438,0.3004,19.0,22.8077,16.5948,28.5,28.1538,18.9751,19.0,23.5,17.3618,26.05,24.4231,17.3675,0.5,1.9231,3.6577,0.0,0.0769,0.3846,1.0,1.5,1.4741,3.0,3.0,2.8823,0.0,0.1154,0.3195,1.15,2.1885,3.8327,1.15,2.0962,3.4188,1.1,1.5731,1.5696,22.0,27.0385,25.6687,43.5,50.0385,45.0021,27.5,49.5,57.9451,0.015,0.1442,0.2129,0.08,0.1058,0.1221,0.15,0.2504,0.2828,0.015,0.1423,0.2098,0.15,0.2481,0.2802,0.06,0.1923,0.2979,0.075,0.1119,0.0952,0.15,0.3042,0.3658,0.06,0.19,0.2955,0.15,0.3019,0.364,7.0,22.3333,23.1132,1.72,2.1567,0.9691,18.0,64.6667,71.0039,13.0,42.3333,47.9884,69.7,61.3,17.9148,2.0,4.3333,4.0277,0.0,3.0,4.2426,2.0,5.3333,5.4365,2.0,3.0,2.9439,21.9,23.9667,20.4647,1.0,2.3333,2.6247,1.0,2.0,2.1602,0.0,0.3333,0.4714,0.0,0.0,0.0,8.35,8.35,8.35,0.5,2.0,3.9807,12.5,20.5385,25.6579,3.5,6.6538,9.0764,30.5,30.6182,19.6849,0.955,1.5612,1.6957,0.25,0.5162,0.6027,0.065,0.0673,0.0771,0.25,0.2484,0.2466,17.6,17.3091,5.554,0.0,0.6923,1.6354,0.0,0.0769,0.3846,0.0,0.1154,0.5769,1.15,2.1885,3.8327,1.15,2.0962,3.4188,0.08,0.0918,0.0559,-0.1,-0.1885,1.0584,-0.1,-0.1731,1.0552,385.5,455.1538,376.2412,540.5,608.6154,485.5391,74.75,73.9346,6.2433,5953.0,8459.2692,7873.2739,1703.5,3185.3462,3596.9887,188.0,190.1538,138.4034,237.5,224.1538,161.7545,85.2,85.9115,6.7542,142.5,201.8846,204.0924,172.5,237.9231,226.0076,81.0,81.7115,10.3453,25.5,53.3077,63.8157,56.5,113.3846,139.0114,47.1,49.3,13.3515,1.0,1.5,1.4741,1.1,1.5731,1.5696,0.95,1.2808,1.3356,-0.05,-0.0731,0.8955,10.5,15.8846,15.4878,25.0,40.8846,43.9093,12.5,13.5,11.7809,2.0,3.3846,4.1331,43.5,50.0385,45.0021,463.0,537.6538,442.015,42.5,68.8077,79.0798,6.5,16.0769,23.193,1.0,1.8077,3.3284,2.5,3.5,4.1067,14.0,27.0385,33.8702,4.0,29.4615,55.8613,0.0,9.0,21.2585,0.0,7.3462,18.1637,0.0,0.3462,1.0356,0.0,0.1538,0.3608,385.5,455.1538,376.2412,1.5,2.1538,2.3154,16.5,13.7692,10.1538,30.0,36.3846,31.3247,2.37,2.5285,1.5132,25.5,26.8462,23.0045,1.0,2.6923,4.9441,1.0,2.3462,3.281,1.5,2.1538,2.413,1.0,1.3077,1.5877,1.0,1.0385,1.1596,3.0,3.1923,2.5723,0.2,0.2288,0.2272,2.0,2.3846,2.1318,0.0,0.1154,0.4231,0.0,0.1923,0.4819,0.0,0.2308,0.6966,0.0,0.1154,0.3195,0.0,0.1538,0.3608,24.0,26.4615,22.878,14.5,15.6538,13.1615,7.5,11.5,11.0879,9.5,10.6923,10.11,3.5,4.2692,4.2748,9.0,12.4231,11.2871,27.0,26.1923,22.6648,47.35,46.2545,14.0954,13.0,13.7692,12.3298,17.0,19.1538,16.5847,3.0,5.8077,7.83,12.5,13.3462,11.6518,7.5,13.6154,16.2246,33.5,40.0769,37.7083,22.0,31.1154,34.6069,0.0,0.6154,1.0406,733.0,790.6923,593.2752,43.0,95.1538,183.3919,138.0,260.6923,303.0614,284.0,323.6154,295.199,160.5,216.9231,199.4785,14.5,39.5385,50.3642,733.0,790.5769,593.2213,17.5,32.9231,35.8125,10.0,14.4615,15.6604,43.1,46.7261,16.6152,8.0,15.6154,18.4622,42.6,40.0391,19.4208,365.5,421.1538,322.5696,2314.5,2536.6923,1939.278,1162.0,1324.1154,1085.6047,22.0,27.0385,25.6687,17.5,19.5,19.8886,2.5,9.1923,12.6613,16.0,24.2692,28.491,9.0,14.7308,19.6323,421.5,449.6538,341.7687,27.5,49.5,57.9451,16.0,19.3846,15.8286,12.5,14.3077,12.2718,1.0,2.1538,3.3246,14.0,27.0385,33.8702,0.0,0.0385,0.1923,72.0,76.9615,64.8629,15.0,22.1923,23.4373,21.0,25.6538,28.819,42.1,45.768,21.2395
2,Fulham,29.0,27.2381,7.8005,18.0,19.9048,9.8411,1593.0,1773.7143,814.1398,80.0,80.381,7.6499,7.0,11.619,10.3302,5.0,7.3333,6.1049,18.0,18.1579,7.0357,3.0,4.2857,4.165,1.24,1.221,0.1146,25.0,28.4762,13.4363,28.0,31.1905,13.326,25.5,26.2667,12.4913,28.8,32.3238,13.5107,2.0,2.4762,2.4421,0.0,0.0952,0.4259,1.0,1.8571,2.1884,3.0,3.9048,2.6169,0.0,0.1905,0.3927,1.6,2.4667,2.2681,1.6,2.3952,2.2068,1.1,1.7905,1.8575,15.0,31.5714,31.6943,62.0,69.6667,46.9674,48.0,68.619,62.2908,0.1,0.1767,0.1822,0.06,0.111,0.166,0.17,0.2876,0.2744,0.1,0.1724,0.1831,0.17,0.2838,0.2753,0.11,0.159,0.1461,0.1,0.0976,0.077,0.19,0.2567,0.2049,0.11,0.1562,0.1454,0.19,0.2533,0.2031,61.0,61.0,0.0,1.61,1.61,0.0,190.0,190.0,0.0,133.0,133.0,0.0,72.1,72.1,0.0,13.0,13.0,0.0,8.0,8.0,0.0,17.0,17.0,0.0,10.0,10.0,0.0,26.3,26.3,0.0,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.5714,2.4606,14.0,23.619,20.259,7.0,8.2381,7.0704,33.9,37.645,18.2365,1.04,1.3776,1.074,0.47,0.5281,0.4951,0.1,0.1535,0.2069,0.3,0.3755,0.3112,15.85,15.555,5.443,0.0,0.6667,1.6134,0.0,0.0952,0.4259,0.0,0.0952,0.4259,1.6,2.4667,2.2681,1.6,2.3952,2.2068,0.095,0.142,0.1931,0.0,0.1048,0.8097,0.0,0.081,0.8511,912.0,772.4286,443.4831,1060.0,957.619,543.4826,79.9,78.8952,7.2824,16128.0,13751.7143,8817.6188,3848.0,4771.6667,4190.748,306.0,332.5714,187.0512,333.0,373.6667,209.2165,88.8,87.7476,6.4983,325.0,344.8095,237.7741,403.0,395.2857,255.6434,82.8,82.2,10.7682,66.0,75.1429,60.9225,109.0,135.381,128.6377,57.8,60.4333,13.0022,1.0,1.8571,2.1884,1.1,1.7905,1.8575,1.0,1.5952,1.6019,0.0,0.0667,1.2963,13.0,18.0,20.0832,47.0,52.8095,31.9503,10.0,16.7619,17.9892,2.0,4.4762,5.9731,62.0,69.6667,46.9674,1029.0,872.0,473.5051,38.0,83.2381,101.7747,17.0,22.0,22.8411,2.0,2.7619,3.3367,3.0,5.619,5.5246,19.0,34.8095,52.2764,2.0,32.2857,80.169,0.0,10.0952,31.9611,0.0,3.3333,10.562,0.0,4.6667,15.8274,0.0,0.0476,0.213,912.0,772.4286,443.4831,2.0,2.381,1.9143,13.0,19.8571,17.1528,29.0,41.619,37.1156,1.97,2.1995,1.4476,21.0,30.9524,26.8709,0.0,3.7619,10.4056,1.0,1.8571,1.8332,3.0,3.1905,3.0334,0.0,1.1429,1.8844,0.0,0.7143,0.8248,2.0,4.4762,4.4681,0.19,0.2748,0.2937,1.0,3.4286,3.8492,0.0,0.2857,0.9331,0.0,0.1905,0.3927,0.0,0.381,0.7222,0.0,0.1429,0.3499,0.0,0.0476,0.213,24.0,32.0952,33.1029,14.0,18.1429,17.3597,9.0,16.0476,19.648,8.0,12.2381,12.4323,2.0,3.8095,3.3469,11.0,16.4286,22.3235,21.0,32.1429,34.6359,47.65,44.09,19.2641,12.0,15.7143,14.0954,16.0,20.7143,14.8969,3.0,5.5714,5.2876,12.0,15.1429,12.8185,13.0,17.5238,18.3967,40.0,49.619,48.9377,19.0,35.3333,32.9868,0.0,0.6667,1.0838,1258.0,1150.1429,609.8715,34.0,132.7143,267.1524,214.0,408.0952,413.3828,519.0,490.1429,285.5185,220.0,262.6667,222.9457,31.0,39.9524,30.2835,1258.0,1150.0476,609.8431,20.0,25.381,22.1133,9.0,12.5238,10.9571,48.15,52.535,19.4096,9.0,10.6667,9.9968,42.05,37.845,19.4923,794.0,657.0476,336.3226,3780.0,3435.4762,1959.266,1855.0,1739.5714,1105.3794,15.0,31.5714,31.6943,13.0,23.9524,23.5098,4.0,7.1429,8.1725,25.0,24.619,16.8423,10.0,15.2857,11.5228,884.0,765.5714,368.0743,48.0,68.619,62.2908,16.0,17.7619,11.1821,11.0,17.0,14.0136,2.0,2.4286,2.8879,19.0,34.8095,52.2764,0.0,0.1905,0.4994,72.0,86.8571,56.1599,13.0,22.8095,18.8493,19.0,23.6667,23.216,52.2,50.2381,15.7826
3,Luton Town,23.0,22.84,8.9786,16.0,16.72,9.954,1304.0,1500.84,848.2056,80.0,79.6,6.7705,8.0,10.4,9.491,4.0,6.12,5.8945,21.5,22.8,7.1176,2.0,3.08,3.9992,0.68,0.6804,0.1494,22.0,22.76,13.6771,36.0,37.16,21.1029,18.2,18.596,11.0025,28.9,34.176,19.0772,1.0,1.76,2.3542,0.0,0.2,0.9798,0.0,1.32,1.9539,3.0,2.8,1.9799,0.0,0.0,0.0,1.0,1.748,2.4541,1.0,1.592,1.8961,0.7,1.204,1.4231,15.0,27.0,30.6346,37.0,44.44,35.5889,21.0,43.72,48.7011,0.07,0.1272,0.1659,0.0,0.0784,0.0964,0.18,0.2052,0.2088,0.07,0.1208,0.1601,0.18,0.1988,0.203,0.06,0.1076,0.1127,0.06,0.0712,0.0599,0.14,0.1804,0.1435,0.06,0.1024,0.1035,0.14,0.1752,0.1357,85.0,85.0,0.0,2.25,2.25,0.0,221.0,221.0,0.0,140.0,140.0,0.0,63.3,63.3,0.0,6.0,6.0,0.0,8.0,8.0,0.0,24.0,24.0,0.0,2.0,2.0,0.0,5.3,5.3,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.96,2.8633,11.0,17.08,17.5018,3.0,5.36,6.3427,26.9,32.5542,23.8434,0.8,1.1004,0.8461,0.25,0.3492,0.3128,0.08,0.0917,0.0963,0.25,0.3423,0.3258,16.05,16.0625,4.1094,0.0,0.44,1.2674,0.0,0.2,0.9798,0.0,0.2,0.9798,1.0,1.748,2.4541,1.0,1.592,1.8961,0.085,0.0863,0.0399,-0.1,0.212,0.9925,-0.1,0.168,1.0418,369.0,440.32,308.9374,513.0,602.0,428.4808,72.4,72.652,7.6617,6404.0,8021.96,6768.6785,1636.0,3236.36,4383.8444,180.0,198.32,134.9378,203.0,230.92,152.8704,86.9,85.028,6.2196,136.0,176.92,130.7663,189.0,216.4,149.6936,77.5,77.956,9.7948,32.0,51.24,75.1288,57.0,114.56,189.3046,46.3,45.66,11.5951,0.0,1.32,1.9539,0.7,1.204,1.4231,0.6,1.1,1.2195,-0.1,0.116,0.9784,8.0,12.6,15.0093,27.0,33.32,29.8003,6.0,10.0,9.7898,1.0,3.6,5.4772,37.0,44.44,35.5889,475.0,524.64,336.1041,28.0,74.72,128.6177,6.0,19.84,35.9719,0.0,0.88,1.5052,2.0,4.44,5.4997,13.0,33.64,66.6285,7.0,28.08,55.3808,0.0,8.12,29.4772,0.0,3.72,12.9384,0.0,4.04,15.655,0.0,0.2,0.9798,369.0,440.32,308.9374,2.0,2.64,2.9378,10.0,16.52,15.4016,19.0,29.96,30.2542,1.67,1.7252,1.0381,13.0,20.16,17.6741,0.0,2.92,9.2948,1.0,2.36,3.4972,1.0,2.2,2.5612,1.0,1.84,2.8097,0.0,0.48,0.806,2.0,3.24,4.0128,0.16,0.1712,0.1638,1.0,1.84,2.0723,0.0,0.28,1.04,0.0,0.24,0.5122,0.0,0.64,0.9749,0.0,0.24,0.8139,0.0,0.0,0.0,21.0,26.12,17.5324,13.0,14.72,10.145,11.0,13.16,9.2636,7.0,9.44,6.946,2.0,3.52,3.7429,11.0,11.96,8.4828,22.0,24.6,17.3274,53.3,50.412,18.0897,11.0,12.64,10.4762,22.0,19.72,12.1475,6.0,7.32,6.9726,11.0,12.4,8.6948,8.0,13.0,12.8592,27.0,39.12,28.7379,22.0,36.56,31.5786,0.0,0.84,1.0837,694.0,784.12,491.8188,51.0,104.72,214.9704,160.0,279.84,313.6942,320.0,315.48,226.108,119.0,198.48,187.4057,20.0,31.2,32.6435,694.0,783.92,491.7031,16.0,30.84,32.4477,7.0,14.16,17.0849,50.0,47.492,19.7358,7.0,13.24,13.6096,37.5,42.212,20.5594,385.0,401.88,257.2327,2122.0,2395.08,1779.5271,1099.0,1191.04,970.7131,15.0,27.0,30.6346,9.0,19.2,18.9061,2.0,6.76,10.1834,18.0,23.16,18.7546,10.0,15.36,15.5019,439.0,435.2,272.3718,21.0,43.72,48.7011,18.0,17.68,11.0371,12.0,17.92,15.9246,1.0,2.68,3.9771,13.0,33.64,66.6285,0.0,0.16,0.463,64.0,74.6,48.6053,17.0,25.4,27.0481,16.0,25.2,32.4481,50.0,53.168,19.4895
